Logging event: Send to Machine 2 | System Time 1520061737.05 | Logical Clock 1 
Logging event: Internal | System Time 1520061737.25 | Logical Clock 2 
Logging event: Receive | System Time 1520061737.46 | Logical Clock 3 
Logging event: Internal | System Time 1520061737.66 | Logical Clock 4 
Logging event: Internal | System Time 1520061737.87 | Logical Clock 5 
Logging event: Receive | System Time 1520061738.07 | Logical Clock 6 
Logging event: Send to Both Machines | System Time 1520061738.28 | Logical Clock 7 
Logging event: Send to Machine 2 | System Time 1520061738.48 | Logical Clock 8 
Logging event: Receive | System Time 1520061738.68 | Logical Clock 11 
Logging event: Internal | System Time 1520061738.89 | Logical Clock 12 
Logging event: Internal | System Time 1520061739.09 | Logical Clock 13 
Logging event: Send to Machine 1 | System Time 1520061739.29 | Logical Clock 14 
Logging event: Internal | System Time 1520061739.5 | Logical Clock 15 
Logging event: Internal | System Time 1520061739.7 | Logical Clock 16 
Logging event: Receive | System Time 1520061739.91 | Logical Clock 19 
Logging event: Send to Machine 1 | System Time 1520061740.11 | Logical Clock 20 
Logging event: Receive | System Time 1520061740.31 | Logical Clock 23 
Logging event: Internal | System Time 1520061740.52 | Logical Clock 24 
Logging event: Receive | System Time 1520061740.72 | Logical Clock 25 
Logging event: Internal | System Time 1520061740.92 | Logical Clock 26 
Logging event: Receive | System Time 1520061741.13 | Logical Clock 27 
Logging event: Receive | System Time 1520061741.33 | Logical Clock 28 
Logging event: Receive | System Time 1520061741.54 | Logical Clock 29 
Logging event: Internal | System Time 1520061741.74 | Logical Clock 30 
Logging event: Internal | System Time 1520061741.94 | Logical Clock 31 
Logging event: Internal | System Time 1520061742.14 | Logical Clock 32 
Logging event: Internal | System Time 1520061742.35 | Logical Clock 33 
Logging event: Internal | System Time 1520061742.55 | Logical Clock 34 
Logging event: Send to Both Machines | System Time 1520061742.75 | Logical Clock 35 
Logging event: Internal | System Time 1520061742.96 | Logical Clock 36 
Logging event: Internal | System Time 1520061743.16 | Logical Clock 37 
Logging event: Receive | System Time 1520061743.37 | Logical Clock 39 
Logging event: Receive | System Time 1520061743.57 | Logical Clock 40 
Logging event: Receive | System Time 1520061743.77 | Logical Clock 41 
Logging event: Send to Machine 2 | System Time 1520061743.97 | Logical Clock 42 
Logging event: Internal | System Time 1520061744.18 | Logical Clock 43 
