Logging event: Internal | System Time 1520061737.05 | Logical Clock 1 
Logging event: Send to Machine 0 | System Time 1520061737.25 | Logical Clock 2 
Logging event: Internal | System Time 1520061737.46 | Logical Clock 3 
Logging event: Receive | System Time 1520061737.66 | Logical Clock 4 
Logging event: Internal | System Time 1520061737.87 | Logical Clock 5 
Logging event: Receive | System Time 1520061738.07 | Logical Clock 6 
Logging event: Receive | System Time 1520061738.28 | Logical Clock 8 
Logging event: Internal | System Time 1520061738.48 | Logical Clock 9 
Logging event: Send to Machine 0 | System Time 1520061738.68 | Logical Clock 10 
Logging event: Internal | System Time 1520061738.89 | Logical Clock 11 
Logging event: Send to Machine 2 | System Time 1520061739.09 | Logical Clock 12 
Logging event: Receive | System Time 1520061739.29 | Logical Clock 15 
Logging event: Internal | System Time 1520061739.5 | Logical Clock 16 
Logging event: Send to Machine 2 | System Time 1520061739.7 | Logical Clock 17 
Logging event: Send to Machine 0 | System Time 1520061739.91 | Logical Clock 18 
Logging event: Receive | System Time 1520061740.11 | Logical Clock 21 
Logging event: Send to Machine 0 | System Time 1520061740.31 | Logical Clock 22 
Logging event: Internal | System Time 1520061740.52 | Logical Clock 23 
Logging event: Receive | System Time 1520061740.72 | Logical Clock 24 
Logging event: Send to Machine 0 | System Time 1520061740.92 | Logical Clock 25 
Logging event: Receive | System Time 1520061741.13 | Logical Clock 26 
Logging event: Send to Machine 2 | System Time 1520061741.33 | Logical Clock 27 
Logging event: Send to Machine 0 | System Time 1520061741.54 | Logical Clock 28 
Logging event: Send to Machine 2 | System Time 1520061741.74 | Logical Clock 29 
Logging event: Internal | System Time 1520061741.94 | Logical Clock 30 
Logging event: Send to Machine 2 | System Time 1520061742.14 | Logical Clock 31 
Logging event: Internal | System Time 1520061742.34 | Logical Clock 32 
Logging event: Send to Machine 2 | System Time 1520061742.55 | Logical Clock 33 
Logging event: Internal | System Time 1520061742.75 | Logical Clock 34 
Logging event: Receive | System Time 1520061742.96 | Logical Clock 36 
Logging event: Internal | System Time 1520061743.16 | Logical Clock 37 
Logging event: Send to Both Machines | System Time 1520061743.36 | Logical Clock 38 
Logging event: Send to Both Machines | System Time 1520061743.56 | Logical Clock 39 
Logging event: Send to Both Machines | System Time 1520061743.77 | Logical Clock 40 
Logging event: Send to Machine 2 | System Time 1520061743.97 | Logical Clock 41 
Logging event: Internal | System Time 1520061744.18 | Logical Clock 42 
Logging event: Internal | System Time 1520061744.38 | Logical Clock 43 
Logging event: Send to Both Machines | System Time 1520061744.58 | Logical Clock 44 
Logging event: Internal | System Time 1520061744.79 | Logical Clock 45 
Logging event: Receive | System Time 1520061744.99 | Logical Clock 47 
Logging event: Internal | System Time 1520061745.19 | Logical Clock 48 
Logging event: Receive | System Time 1520061745.4 | Logical Clock 49 
Logging event: Internal | System Time 1520061745.6 | Logical Clock 50 
Logging event: Internal | System Time 1520061745.8 | Logical Clock 51 
Logging event: Send to Both Machines | System Time 1520061746.0 | Logical Clock 52 
Logging event: Internal | System Time 1520061746.21 | Logical Clock 53 
Logging event: Internal | System Time 1520061746.41 | Logical Clock 54 
Logging event: Send to Machine 0 | System Time 1520061746.61 | Logical Clock 55 
Logging event: Internal | System Time 1520061746.82 | Logical Clock 56 
Logging event: Receive | System Time 1520061747.02 | Logical Clock 58 
Logging event: Receive | System Time 1520061747.22 | Logical Clock 59 
Logging event: Send to Both Machines | System Time 1520061747.43 | Logical Clock 60 
Logging event: Internal | System Time 1520061747.63 | Logical Clock 61 
Logging event: Receive | System Time 1520061747.83 | Logical Clock 63 
Logging event: Receive | System Time 1520061748.04 | Logical Clock 64 
Logging event: Internal | System Time 1520061748.24 | Logical Clock 65 
Logging event: Receive | System Time 1520061748.45 | Logical Clock 66 
Logging event: Internal | System Time 1520061748.65 | Logical Clock 67 
