Logging event: Internal | System Time 1520479214.86 | Logical Clock 1 
Logging event: Receive | System Time 1520479215.36 | Logical Clock 3 
Logging event: Receive | System Time 1520479215.86 | Logical Clock 4 
Logging event: Receive | System Time 1520479216.36 | Logical Clock 5 
Logging event: Receive | System Time 1520479216.86 | Logical Clock 6 
Logging event: Internal | System Time 1520479217.36 | Logical Clock 7 
Logging event: Internal | System Time 1520479217.87 | Logical Clock 8 
Logging event: Internal | System Time 1520479218.37 | Logical Clock 9 
Logging event: Receive | System Time 1520479218.87 | Logical Clock 12 
Logging event: Internal | System Time 1520479219.37 | Logical Clock 13 
Logging event: Receive | System Time 1520479219.87 | Logical Clock 23 
Logging event: Receive | System Time 1520479220.38 | Logical Clock 26 
Logging event: Receive | System Time 1520479220.88 | Logical Clock 27 
Logging event: Receive | System Time 1520479221.38 | Logical Clock 31 
Logging event: Receive | System Time 1520479221.89 | Logical Clock 35 
Logging event: Receive | System Time 1520479222.4 | Logical Clock 36 
Logging event: Receive | System Time 1520479222.9 | Logical Clock 38 
Logging event: Receive | System Time 1520479223.42 | Logical Clock 39 
Logging event: Receive | System Time 1520479223.92 | Logical Clock 43 
Logging event: Receive | System Time 1520479224.43 | Logical Clock 45 
Logging event: Receive | System Time 1520479224.94 | Logical Clock 46 
Logging event: Receive | System Time 1520479225.44 | Logical Clock 47 
Logging event: Receive | System Time 1520479225.94 | Logical Clock 53 
Logging event: Receive | System Time 1520479226.44 | Logical Clock 56 
Logging event: Receive | System Time 1520479226.94 | Logical Clock 59 
Logging event: Receive | System Time 1520479227.44 | Logical Clock 60 
Logging event: Receive | System Time 1520479227.95 | Logical Clock 64 
Logging event: Receive | System Time 1520479228.45 | Logical Clock 65 
Logging event: Internal | System Time 1520479228.95 | Logical Clock 66 
Logging event: Receive | System Time 1520479229.45 | Logical Clock 69 
Logging event: Receive | System Time 1520479229.96 | Logical Clock 71 
Logging event: Internal | System Time 1520479230.46 | Logical Clock 72 
Logging event: Send to Both Machines | System Time 1520479230.96 | Logical Clock 73 
Logging event: Internal | System Time 1520479231.47 | Logical Clock 74 
Logging event: Receive | System Time 1520479231.97 | Logical Clock 84 
Logging event: Receive | System Time 1520479232.47 | Logical Clock 85 
Logging event: Receive | System Time 1520479232.97 | Logical Clock 87 
Logging event: Receive | System Time 1520479233.47 | Logical Clock 88 
Logging event: Receive | System Time 1520479233.98 | Logical Clock 91 
Logging event: Receive | System Time 1520479234.48 | Logical Clock 93 
