Logging event: Send to Machine 1 | System Time 1520475202.6408472 | Logical Clock 1 
Logging event: Receive | System Time 1520475203.146353 | Logical Clock 2 
Logging event: Receive | System Time 1520475203.64701 | Logical Clock 3 
Logging event: Receive | System Time 1520475204.150454 | Logical Clock 4 
Logging event: Receive | System Time 1520475204.651084 | Logical Clock 5 
Logging event: Receive | System Time 1520475205.1523578 | Logical Clock 8 
Logging event: Receive | System Time 1520475205.6554828 | Logical Clock 10 
Logging event: Receive | System Time 1520475206.160135 | Logical Clock 11 
Logging event: Receive | System Time 1520475206.660539 | Logical Clock 14 
Logging event: Receive | System Time 1520475207.166226 | Logical Clock 15 
Logging event: Receive | System Time 1520475207.66894 | Logical Clock 17 
Logging event: Receive | System Time 1520475208.174313 | Logical Clock 18 
Logging event: Receive | System Time 1520475208.680108 | Logical Clock 21 
Logging event: Receive | System Time 1520475209.1838431 | Logical Clock 25 
Logging event: Receive | System Time 1520475209.69016 | Logical Clock 26 
Logging event: Receive | System Time 1520475210.194541 | Logical Clock 28 
Logging event: Receive | System Time 1520475210.69808 | Logical Clock 29 
Logging event: Receive | System Time 1520475211.2019541 | Logical Clock 32 
Logging event: Receive | System Time 1520475211.705493 | Logical Clock 34 
Logging event: Receive | System Time 1520475212.209826 | Logical Clock 36 
Logging event: Receive | System Time 1520475212.715961 | Logical Clock 37 
Logging event: Receive | System Time 1520475213.222101 | Logical Clock 38 
Logging event: Receive | System Time 1520475213.724638 | Logical Clock 40 
Logging event: Receive | System Time 1520475214.225285 | Logical Clock 41 
Logging event: Receive | System Time 1520475214.725564 | Logical Clock 43 
Logging event: Receive | System Time 1520475215.2290199 | Logical Clock 44 
Logging event: Receive | System Time 1520475215.7345762 | Logical Clock 45 
Logging event: Receive | System Time 1520475216.236008 | Logical Clock 46 
Logging event: Receive | System Time 1520475216.736628 | Logical Clock 48 
Logging event: Receive | System Time 1520475217.238228 | Logical Clock 50 
Logging event: Receive | System Time 1520475217.742336 | Logical Clock 51 
Logging event: Receive | System Time 1520475218.247349 | Logical Clock 52 
Logging event: Receive | System Time 1520475218.7529202 | Logical Clock 53 
Logging event: Receive | System Time 1520475219.255449 | Logical Clock 55 
Logging event: Receive | System Time 1520475219.759479 | Logical Clock 56 
Logging event: Receive | System Time 1520475220.263094 | Logical Clock 57 
Logging event: Receive | System Time 1520475220.7653792 | Logical Clock 58 
Logging event: Receive | System Time 1520475221.2657878 | Logical Clock 60 
Logging event: Receive | System Time 1520475221.768922 | Logical Clock 62 
Logging event: Receive | System Time 1520475222.2737439 | Logical Clock 63 
Logging event: Receive | System Time 1520475222.778535 | Logical Clock 66 
Logging event: Receive | System Time 1520475223.284074 | Logical Clock 67 
Logging event: Receive | System Time 1520475223.7875688 | Logical Clock 68 
Logging event: Receive | System Time 1520475224.291896 | Logical Clock 69 
Logging event: Receive | System Time 1520475224.792876 | Logical Clock 71 
Logging event: Receive | System Time 1520475225.296196 | Logical Clock 74 
Logging event: Receive | System Time 1520475225.797947 | Logical Clock 76 
Logging event: Receive | System Time 1520475226.301117 | Logical Clock 77 
Logging event: Receive | System Time 1520475226.805505 | Logical Clock 78 
Logging event: Receive | System Time 1520475227.307442 | Logical Clock 79 
Logging event: Receive | System Time 1520475227.810451 | Logical Clock 80 
Logging event: Receive | System Time 1520475228.31306 | Logical Clock 82 
Logging event: Receive | System Time 1520475228.817524 | Logical Clock 84 
Logging event: Receive | System Time 1520475229.3214898 | Logical Clock 85 
Logging event: Receive | System Time 1520475229.82706 | Logical Clock 89 
Logging event: Receive | System Time 1520475230.331894 | Logical Clock 90 
Logging event: Receive | System Time 1520475230.837157 | Logical Clock 91 
Logging event: Receive | System Time 1520475231.34269 | Logical Clock 92 
Logging event: Receive | System Time 1520475231.845394 | Logical Clock 93 
Logging event: Receive | System Time 1520475232.347599 | Logical Clock 95 
Logging event: Receive | System Time 1520475232.8520691 | Logical Clock 96 
Logging event: Receive | System Time 1520475233.357721 | Logical Clock 98 
Logging event: Receive | System Time 1520475233.862771 | Logical Clock 100 
Logging event: Receive | System Time 1520475234.367786 | Logical Clock 102 
Logging event: Receive | System Time 1520475234.872329 | Logical Clock 105 
Logging event: Receive | System Time 1520475235.374578 | Logical Clock 106 
Logging event: Receive | System Time 1520475235.8791611 | Logical Clock 108 
Logging event: Receive | System Time 1520475236.3834822 | Logical Clock 109 
Logging event: Receive | System Time 1520475236.8866189 | Logical Clock 110 
Logging event: Receive | System Time 1520475237.390325 | Logical Clock 111 
Logging event: Receive | System Time 1520475237.894896 | Logical Clock 115 
Logging event: Receive | System Time 1520475238.399856 | Logical Clock 116 
Logging event: Receive | System Time 1520475238.903091 | Logical Clock 118 
Logging event: Receive | System Time 1520475239.4074008 | Logical Clock 119 
Logging event: Receive | System Time 1520475239.911262 | Logical Clock 121 
Logging event: Receive | System Time 1520475240.414658 | Logical Clock 122 
Logging event: Receive | System Time 1520475240.916339 | Logical Clock 123 
Logging event: Receive | System Time 1520475241.421738 | Logical Clock 125 
Logging event: Receive | System Time 1520475241.925368 | Logical Clock 126 
Logging event: Receive | System Time 1520475242.4286091 | Logical Clock 127 
Logging event: Receive | System Time 1520475242.934124 | Logical Clock 128 
Logging event: Receive | System Time 1520475243.439816 | Logical Clock 130 
Logging event: Receive | System Time 1520475243.9427211 | Logical Clock 131 
Logging event: Receive | System Time 1520475244.4447842 | Logical Clock 132 
Logging event: Receive | System Time 1520475244.950615 | Logical Clock 134 
Logging event: Receive | System Time 1520475245.453985 | Logical Clock 136 
Logging event: Receive | System Time 1520475245.9584131 | Logical Clock 137 
Logging event: Receive | System Time 1520475246.460999 | Logical Clock 140 
Logging event: Receive | System Time 1520475246.963824 | Logical Clock 141 
Logging event: Receive | System Time 1520475247.465728 | Logical Clock 144 
Logging event: Receive | System Time 1520475247.971343 | Logical Clock 145 
Logging event: Receive | System Time 1520475248.476949 | Logical Clock 146 
Logging event: Receive | System Time 1520475248.9800918 | Logical Clock 147 
Logging event: Receive | System Time 1520475249.4825249 | Logical Clock 149 
Logging event: Receive | System Time 1520475249.9836428 | Logical Clock 150 
Logging event: Receive | System Time 1520475250.485047 | Logical Clock 151 
Logging event: Receive | System Time 1520475250.986292 | Logical Clock 153 
Logging event: Receive | System Time 1520475251.488831 | Logical Clock 156 
Logging event: Receive | System Time 1520475251.9913669 | Logical Clock 159 
Logging event: Receive | System Time 1520475252.4922729 | Logical Clock 160 
Logging event: Receive | System Time 1520475252.997396 | Logical Clock 161 
Logging event: Receive | System Time 1520475253.4986691 | Logical Clock 164 
Logging event: Receive | System Time 1520475254.00139 | Logical Clock 165 
Logging event: Receive | System Time 1520475254.5021381 | Logical Clock 169 
Logging event: Receive | System Time 1520475255.0026398 | Logical Clock 170 
Logging event: Receive | System Time 1520475255.503802 | Logical Clock 171 
Logging event: Receive | System Time 1520475256.0040681 | Logical Clock 172 
Logging event: Receive | System Time 1520475256.50429 | Logical Clock 173 
Logging event: Receive | System Time 1520475257.007508 | Logical Clock 174 
Logging event: Receive | System Time 1520475257.507872 | Logical Clock 182 
Logging event: Receive | System Time 1520475258.008733 | Logical Clock 185 
Logging event: Receive | System Time 1520475258.510273 | Logical Clock 188 
Logging event: Receive | System Time 1520475259.014766 | Logical Clock 190 
Logging event: Receive | System Time 1520475259.517767 | Logical Clock 192 
Logging event: Receive | System Time 1520475260.020739 | Logical Clock 193 
Logging event: Receive | System Time 1520475260.522604 | Logical Clock 194 
Logging event: Receive | System Time 1520475261.0281758 | Logical Clock 201 
Logging event: Receive | System Time 1520475261.534116 | Logical Clock 204 
Logging event: Receive | System Time 1520475262.037876 | Logical Clock 205 
Logging event: Receive | System Time 1520475262.543675 | Logical Clock 209 
