Logging event: Receive | System Time 1520479994.96 | Logical Clock 2 
Logging event: Receive | System Time 1520479995.46 | Logical Clock 3 
Logging event: Receive | System Time 1520479995.96 | Logical Clock 8 
Logging event: Receive | System Time 1520479996.47 | Logical Clock 10 
Logging event: Receive | System Time 1520479996.97 | Logical Clock 13 
Logging event: Internal | System Time 1520479997.48 | Logical Clock 14 
Logging event: Receive | System Time 1520479997.98 | Logical Clock 19 
Logging event: Receive | System Time 1520479998.48 | Logical Clock 20 
Logging event: Receive | System Time 1520479998.98 | Logical Clock 24 
Logging event: Receive | System Time 1520479999.48 | Logical Clock 25 
Logging event: Receive | System Time 1520479999.99 | Logical Clock 26 
Logging event: Receive | System Time 1520480000.49 | Logical Clock 27 
Logging event: Receive | System Time 1520480000.99 | Logical Clock 33 
Logging event: Receive | System Time 1520480001.49 | Logical Clock 36 
Logging event: Receive | System Time 1520480001.99 | Logical Clock 37 
Logging event: Receive | System Time 1520480002.5 | Logical Clock 38 
Logging event: Receive | System Time 1520480003.01 | Logical Clock 47 
Logging event: Receive | System Time 1520480003.51 | Logical Clock 48 
Logging event: Receive | System Time 1520480004.01 | Logical Clock 52 
Logging event: Receive | System Time 1520480004.51 | Logical Clock 53 
Logging event: Receive | System Time 1520480005.02 | Logical Clock 54 
Logging event: Receive | System Time 1520480005.52 | Logical Clock 57 
Logging event: Receive | System Time 1520480006.02 | Logical Clock 60 
Logging event: Receive | System Time 1520480006.53 | Logical Clock 62 
Logging event: Receive | System Time 1520480007.03 | Logical Clock 65 
Logging event: Receive | System Time 1520480007.54 | Logical Clock 68 
Logging event: Receive | System Time 1520480008.04 | Logical Clock 70 
Logging event: Receive | System Time 1520480008.54 | Logical Clock 71 
Logging event: Receive | System Time 1520480009.05 | Logical Clock 72 
Logging event: Receive | System Time 1520480009.56 | Logical Clock 74 
Logging event: Receive | System Time 1520480010.06 | Logical Clock 76 
Logging event: Receive | System Time 1520480010.56 | Logical Clock 77 
Logging event: Receive | System Time 1520480011.07 | Logical Clock 78 
Logging event: Receive | System Time 1520480011.58 | Logical Clock 82 
Logging event: Receive | System Time 1520480012.08 | Logical Clock 83 
Logging event: Receive | System Time 1520480012.58 | Logical Clock 86 
Logging event: Receive | System Time 1520480013.08 | Logical Clock 88 
Logging event: Receive | System Time 1520480013.58 | Logical Clock 91 
Logging event: Receive | System Time 1520480014.09 | Logical Clock 92 
Logging event: Receive | System Time 1520480014.59 | Logical Clock 93 
Logging event: Receive | System Time 1520480015.1 | Logical Clock 95 
Logging event: Receive | System Time 1520480015.6 | Logical Clock 100 
Logging event: Receive | System Time 1520480016.1 | Logical Clock 103 
Logging event: Receive | System Time 1520480016.6 | Logical Clock 104 
Logging event: Receive | System Time 1520480017.11 | Logical Clock 106 
Logging event: Receive | System Time 1520480017.61 | Logical Clock 115 
Logging event: Receive | System Time 1520480018.11 | Logical Clock 119 
Logging event: Receive | System Time 1520480018.62 | Logical Clock 123 
Logging event: Receive | System Time 1520480019.12 | Logical Clock 124 
Logging event: Receive | System Time 1520480019.62 | Logical Clock 125 
Logging event: Receive | System Time 1520480020.12 | Logical Clock 131 
Logging event: Receive | System Time 1520480020.62 | Logical Clock 135 
Logging event: Receive | System Time 1520480021.13 | Logical Clock 136 
Logging event: Receive | System Time 1520480021.63 | Logical Clock 139 
Logging event: Receive | System Time 1520480022.13 | Logical Clock 140 
Logging event: Receive | System Time 1520480022.63 | Logical Clock 141 
Logging event: Receive | System Time 1520480023.13 | Logical Clock 142 
Logging event: Receive | System Time 1520480023.63 | Logical Clock 143 
Logging event: Receive | System Time 1520480024.13 | Logical Clock 146 
Logging event: Receive | System Time 1520480024.64 | Logical Clock 147 
Logging event: Receive | System Time 1520480025.14 | Logical Clock 148 
Logging event: Receive | System Time 1520480025.64 | Logical Clock 152 
Logging event: Receive | System Time 1520480026.14 | Logical Clock 154 
Logging event: Receive | System Time 1520480026.65 | Logical Clock 160 
Logging event: Receive | System Time 1520480027.15 | Logical Clock 166 
Logging event: Receive | System Time 1520480027.65 | Logical Clock 167 
Logging event: Receive | System Time 1520480028.15 | Logical Clock 169 
Logging event: Receive | System Time 1520480028.65 | Logical Clock 170 
Logging event: Receive | System Time 1520480029.15 | Logical Clock 171 
Logging event: Receive | System Time 1520480029.66 | Logical Clock 173 
Logging event: Receive | System Time 1520480030.16 | Logical Clock 175 
Logging event: Receive | System Time 1520480030.66 | Logical Clock 178 
Logging event: Receive | System Time 1520480031.17 | Logical Clock 179 
Logging event: Receive | System Time 1520480031.67 | Logical Clock 186 
Logging event: Receive | System Time 1520480032.17 | Logical Clock 189 
Logging event: Receive | System Time 1520480032.68 | Logical Clock 191 
Logging event: Receive | System Time 1520480033.18 | Logical Clock 193 
Logging event: Receive | System Time 1520480033.68 | Logical Clock 200 
Logging event: Receive | System Time 1520480034.18 | Logical Clock 202 
Logging event: Receive | System Time 1520480034.69 | Logical Clock 203 
Logging event: Receive | System Time 1520480035.19 | Logical Clock 204 
Logging event: Receive | System Time 1520480035.69 | Logical Clock 206 
Logging event: Receive | System Time 1520480036.19 | Logical Clock 207 
Logging event: Receive | System Time 1520480036.69 | Logical Clock 212 
Logging event: Receive | System Time 1520480037.2 | Logical Clock 218 
Logging event: Receive | System Time 1520480037.7 | Logical Clock 220 
Logging event: Receive | System Time 1520480038.2 | Logical Clock 223 
Logging event: Receive | System Time 1520480038.7 | Logical Clock 224 
Logging event: Receive | System Time 1520480039.2 | Logical Clock 225 
Logging event: Receive | System Time 1520480039.7 | Logical Clock 227 
Logging event: Receive | System Time 1520480040.21 | Logical Clock 234 
Logging event: Receive | System Time 1520480040.71 | Logical Clock 235 
Logging event: Receive | System Time 1520480041.21 | Logical Clock 236 
Logging event: Receive | System Time 1520480041.71 | Logical Clock 239 
Logging event: Receive | System Time 1520480042.21 | Logical Clock 240 
Logging event: Receive | System Time 1520480042.71 | Logical Clock 241 
Logging event: Receive | System Time 1520480043.22 | Logical Clock 244 
Logging event: Receive | System Time 1520480043.72 | Logical Clock 251 
Logging event: Receive | System Time 1520480044.22 | Logical Clock 252 
Logging event: Receive | System Time 1520480044.73 | Logical Clock 259 
Logging event: Receive | System Time 1520480045.23 | Logical Clock 261 
Logging event: Receive | System Time 1520480045.73 | Logical Clock 264 
Logging event: Receive | System Time 1520480046.24 | Logical Clock 265 
Logging event: Receive | System Time 1520480046.74 | Logical Clock 266 
Logging event: Receive | System Time 1520480047.24 | Logical Clock 268 
Logging event: Receive | System Time 1520480047.74 | Logical Clock 270 
Logging event: Receive | System Time 1520480048.25 | Logical Clock 273 
Logging event: Receive | System Time 1520480048.75 | Logical Clock 274 
Logging event: Receive | System Time 1520480049.25 | Logical Clock 275 
Logging event: Receive | System Time 1520480049.75 | Logical Clock 276 
Logging event: Receive | System Time 1520480050.25 | Logical Clock 277 
Logging event: Receive | System Time 1520480050.76 | Logical Clock 278 
Logging event: Receive | System Time 1520480051.26 | Logical Clock 279 
Logging event: Receive | System Time 1520480051.76 | Logical Clock 281 
Logging event: Receive | System Time 1520480052.27 | Logical Clock 282 
Logging event: Receive | System Time 1520480052.77 | Logical Clock 283 
Logging event: Receive | System Time 1520480053.28 | Logical Clock 286 
Logging event: Receive | System Time 1520480053.78 | Logical Clock 287 
Logging event: Receive | System Time 1520480054.28 | Logical Clock 293 
