Logging event: Send to Both Machines | System Time 1520474782.5900722 | Logical Clock 1 
Logging event: Send to Both Machines | System Time 1520474783.094319 | Logical Clock 2 
Logging event: Receive | System Time 1520474783.594574 | Logical Clock 7 
Logging event: Receive | System Time 1520474784.0969548 | Logical Clock 10 
Logging event: Receive | System Time 1520474784.597468 | Logical Clock 11 
Logging event: Receive | System Time 1520474785.0979671 | Logical Clock 14 
Logging event: Receive | System Time 1520474785.600297 | Logical Clock 15 
Logging event: Receive | System Time 1520474786.102647 | Logical Clock 16 
Logging event: Receive | System Time 1520474786.603255 | Logical Clock 17 
Logging event: Receive | System Time 1520474787.10851 | Logical Clock 18 
Logging event: Receive | System Time 1520474787.613451 | Logical Clock 24 
Logging event: Receive | System Time 1520474788.1141918 | Logical Clock 27 
Logging event: Receive | System Time 1520474788.619838 | Logical Clock 32 
Logging event: Receive | System Time 1520474789.1229272 | Logical Clock 36 
Logging event: Receive | System Time 1520474789.623425 | Logical Clock 40 
Logging event: Receive | System Time 1520474790.1270468 | Logical Clock 41 
Logging event: Receive | System Time 1520474790.628287 | Logical Clock 44 
Logging event: Receive | System Time 1520474791.130912 | Logical Clock 50 
Logging event: Receive | System Time 1520474791.6364758 | Logical Clock 52 
Logging event: Receive | System Time 1520474792.142098 | Logical Clock 53 
Logging event: Receive | System Time 1520474792.642797 | Logical Clock 54 
Logging event: Receive | System Time 1520474793.148638 | Logical Clock 56 
Logging event: Receive | System Time 1520474793.649269 | Logical Clock 58 
Logging event: Receive | System Time 1520474794.155255 | Logical Clock 59 
Logging event: Receive | System Time 1520474794.658331 | Logical Clock 63 
Logging event: Receive | System Time 1520474795.164195 | Logical Clock 67 
Logging event: Receive | System Time 1520474795.669984 | Logical Clock 69 
Logging event: Receive | System Time 1520474796.17594 | Logical Clock 72 
Logging event: Receive | System Time 1520474796.681403 | Logical Clock 75 
Logging event: Receive | System Time 1520474797.186989 | Logical Clock 78 
Logging event: Receive | System Time 1520474797.692878 | Logical Clock 81 
Logging event: Receive | System Time 1520474798.1984708 | Logical Clock 82 
Logging event: Receive | System Time 1520474798.70409 | Logical Clock 83 
Logging event: Receive | System Time 1520474799.2099981 | Logical Clock 87 
Logging event: Receive | System Time 1520474799.710695 | Logical Clock 89 
Logging event: Receive | System Time 1520474800.216579 | Logical Clock 91 
Logging event: Receive | System Time 1520474800.722472 | Logical Clock 94 
Logging event: Receive | System Time 1520474801.2280362 | Logical Clock 95 
Logging event: Receive | System Time 1520474801.731345 | Logical Clock 96 
Logging event: Receive | System Time 1520474802.237026 | Logical Clock 100 
Logging event: Receive | System Time 1520474802.738445 | Logical Clock 101 
Logging event: Receive | System Time 1520474803.24223 | Logical Clock 103 
Logging event: Receive | System Time 1520474803.746888 | Logical Clock 104 
Logging event: Receive | System Time 1520474804.2480268 | Logical Clock 106 
Logging event: Receive | System Time 1520474804.7486389 | Logical Clock 108 
Logging event: Receive | System Time 1520474805.254522 | Logical Clock 109 
Logging event: Receive | System Time 1520474805.755878 | Logical Clock 110 
Logging event: Receive | System Time 1520474806.256442 | Logical Clock 112 
Logging event: Receive | System Time 1520474806.761865 | Logical Clock 116 
Logging event: Receive | System Time 1520474807.263707 | Logical Clock 117 
Logging event: Receive | System Time 1520474807.764483 | Logical Clock 118 
Logging event: Receive | System Time 1520474808.265839 | Logical Clock 120 
Logging event: Receive | System Time 1520474808.768905 | Logical Clock 121 
Logging event: Receive | System Time 1520474809.274265 | Logical Clock 123 
Logging event: Receive | System Time 1520474809.777099 | Logical Clock 125 
Logging event: Receive | System Time 1520474810.2832 | Logical Clock 127 
Logging event: Receive | System Time 1520474810.789345 | Logical Clock 130 
Logging event: Receive | System Time 1520474811.294733 | Logical Clock 132 
Logging event: Receive | System Time 1520474811.800506 | Logical Clock 133 
Logging event: Receive | System Time 1520474812.305994 | Logical Clock 139 
Logging event: Receive | System Time 1520474812.811414 | Logical Clock 141 
Logging event: Receive | System Time 1520474813.317086 | Logical Clock 144 
Logging event: Receive | System Time 1520474813.8218849 | Logical Clock 145 
Logging event: Receive | System Time 1520474814.326916 | Logical Clock 146 
Logging event: Receive | System Time 1520474814.8281689 | Logical Clock 147 
Logging event: Receive | System Time 1520474815.330873 | Logical Clock 152 
Logging event: Receive | System Time 1520474815.83653 | Logical Clock 153 
Logging event: Receive | System Time 1520474816.3413 | Logical Clock 154 
Logging event: Receive | System Time 1520474816.842958 | Logical Clock 156 
Logging event: Receive | System Time 1520474817.3439739 | Logical Clock 157 
Logging event: Receive | System Time 1520474817.845279 | Logical Clock 163 
Logging event: Receive | System Time 1520474818.347093 | Logical Clock 164 
Logging event: Receive | System Time 1520474818.8486981 | Logical Clock 165 
Logging event: Receive | System Time 1520474819.350297 | Logical Clock 166 
Logging event: Receive | System Time 1520474819.851466 | Logical Clock 168 
Logging event: Receive | System Time 1520474820.3529012 | Logical Clock 171 
Logging event: Receive | System Time 1520474820.858381 | Logical Clock 172 
Logging event: Receive | System Time 1520474821.358829 | Logical Clock 173 
Logging event: Receive | System Time 1520474821.863629 | Logical Clock 174 
Logging event: Receive | System Time 1520474822.36971 | Logical Clock 175 
Logging event: Receive | System Time 1520474822.872399 | Logical Clock 176 
Logging event: Receive | System Time 1520474823.3783119 | Logical Clock 179 
Logging event: Receive | System Time 1520474823.883946 | Logical Clock 183 
Logging event: Receive | System Time 1520474824.389518 | Logical Clock 187 
Logging event: Receive | System Time 1520474824.895424 | Logical Clock 189 
Logging event: Receive | System Time 1520474825.3994298 | Logical Clock 190 
Logging event: Receive | System Time 1520474825.9053829 | Logical Clock 192 
Logging event: Receive | System Time 1520474826.410982 | Logical Clock 193 
Logging event: Receive | System Time 1520474826.916539 | Logical Clock 196 
Logging event: Receive | System Time 1520474827.422116 | Logical Clock 199 
Logging event: Receive | System Time 1520474827.92322 | Logical Clock 204 
Logging event: Receive | System Time 1520474828.429172 | Logical Clock 205 
Logging event: Receive | System Time 1520474828.931958 | Logical Clock 208 
Logging event: Receive | System Time 1520474829.43791 | Logical Clock 212 
Logging event: Receive | System Time 1520474829.942076 | Logical Clock 216 
Logging event: Receive | System Time 1520474830.445781 | Logical Clock 221 
Logging event: Receive | System Time 1520474830.946644 | Logical Clock 222 
Logging event: Receive | System Time 1520474831.452363 | Logical Clock 228 
Logging event: Receive | System Time 1520474831.95361 | Logical Clock 230 
Logging event: Receive | System Time 1520474832.4559748 | Logical Clock 234 
Logging event: Receive | System Time 1520474832.960711 | Logical Clock 236 
Logging event: Receive | System Time 1520474833.4617238 | Logical Clock 237 
Logging event: Receive | System Time 1520474833.962852 | Logical Clock 238 
Logging event: Receive | System Time 1520474834.468083 | Logical Clock 242 
Logging event: Receive | System Time 1520474834.9688818 | Logical Clock 243 
Logging event: Receive | System Time 1520474835.470541 | Logical Clock 246 
Logging event: Receive | System Time 1520474835.971505 | Logical Clock 251 
Logging event: Receive | System Time 1520474836.4769459 | Logical Clock 253 
Logging event: Receive | System Time 1520474836.9825668 | Logical Clock 254 
Logging event: Receive | System Time 1520474837.486965 | Logical Clock 255 
Logging event: Receive | System Time 1520474837.9925408 | Logical Clock 257 
Logging event: Receive | System Time 1520474838.498091 | Logical Clock 258 
Logging event: Receive | System Time 1520474839.000009 | Logical Clock 260 
Logging event: Receive | System Time 1520474839.5022469 | Logical Clock 264 
Logging event: Receive | System Time 1520474840.005302 | Logical Clock 265 
Logging event: Receive | System Time 1520474840.506655 | Logical Clock 266 
Logging event: Receive | System Time 1520474841.008489 | Logical Clock 268 
Logging event: Receive | System Time 1520474841.510108 | Logical Clock 269 
Logging event: Receive | System Time 1520474842.0106938 | Logical Clock 272 
Logging event: Receive | System Time 1520474842.511382 | Logical Clock 276 
